Cod Articol	Nume Articol
MG8G4ZDA	IPHONE 17 PRO SILVER 256GB
MG6M4ZDA	IPHONE 17 LAVENDER 256GB
MFYP4ZDA	IPHONE 17 PRO MAX DBLUE 256GB
SMTS25512NV	TELEFON SAMSUNG S25 5G, 512GB, NAVY
UHDOLED55C51LA	OLED TV CLASA F 4K 139 CM
PB7X0086RO	TELEFON MOTOROLA EDGE 60 PRO, 256GB, GREEN
1000049751	PS5 DIGITAL E CHASSIS/EAS
LAPMW1L3ROA	LAPTOP APPLE MACBOOK AIR 15 M4 16GB 256GB MID
TABMD3Y4HCA	APPLE IPAD 11 A16 128GB WIFI SILVER
EXSEP544790	ESPRESSOR AUTOMAT PHILIPS LATTEGO SERIA 5400 EP5447/90, 1.8L
UE43U8072FUXXH	LED SAMSUNG UE43U8072, ULTRA HD 4K, 108 CM
QE65Q8FAAUXXH	QLED SAMSUNG QE65Q8FA, ULTRA HD 4K, 163 CM
SMTA164BK	TELEFON GALAXY A16, 4GB, 128GB, BLACK
MFHP4ZMA	APPLE AIRPODS PRO 3, TWS, ANC, ALB
EXSECAM29081TB	ESPRESSOR AUTOMAT MAGNIFICA EVO MILK ECAM290.81.TB
QE43Q7FAAUXXH	QLED SAMSUNG QE43Q7FA, ULTRA HD 4K, 108 CM
SMTIP151PK	IPHONE 15 128GB PINK
SMTIP151BL	IPHONE 15 128GB BLUE
UHDOLED65G51LW	OLED TV CLASA E 4K 164 CM
MSFBM3WFSU39413WBPB	MASINA DE SPALAT DE RUFE 9KG 1400 RPM CLASA A
SBSVS55NSV01M	SIDE BY SIDE CLASA E 548 L 177 CM
MSFWNHPI84ASB	MASINA DE SPALAT RUFE CLASA A 8KG 1400 RPM
WPM87WADSEE	MASINA DE SPALAT RUFE 8 KG 1400 RPM CLASA A
EP334150	ESPRESSOR AUTOMAT PHILIPS EP3341/50, 6 BAUTURI
43UA75003LA	TELEVIZOR LED SMART LG 43UA75003LA, UHD, 108CM
NHDAEEX002	LAPTOP ACER 16 WUXGA I5-13420H 16GB 512GB RTX4050
SMTA361BK	TELEFON SAMSUNG A36 5G, 6GB RAM, 128GB, BLACK
48535001	ASPIRATOR VERTICAL DYSON  V12 DETECT SLIM SUBMARIN
49296301	ASPIRATOR VERTICAL FARA FIR DYSON V16 PISTON ANIMAL
40PFS600012	LEDTV PHILIPS 40PFS6000 FHD SMART 100CM
43QNED70A6A	QNED SMART LG 43QNED70A6A, ULTRA HD 4K, 108 CM
SMTH400LITEBK	HONOR 400 LITE 5G, 256GB, 8GB RAM, DUAL SIM, BLACK
EXSECAM22115B	ESPRESSOR AUTOMAT DELONGHI MAGNIFICA ECAM22.115.B
CBFGBV3100DPY	COMBINA FRIGORIFICA CLASA D 344L 186CM NO FROST ARGINTIU
MSFB3WFU410415WWES	MASINA DE SPALAT RUFE CLASA A 10KG 1400 RPM
UHD43NANO81A3A	NANOCELL TV CLASA G 4K 108 CM
ASPBCH3K2801	ASPIRATOR VERTICAL 2IN1 BOSCH, 25.2V, 9.31 KWH/AN
MSFFFB8458BVEE	MASINA DE SPALAT CLASA B 8 KG 1400 RPM
